date,sm5,sm10,sm20,sm40,st5,st10,st20,st40,nodes,obs48
2020-12-16,0.1233541,0.1630705,0.1534922,0.1647761,-4.54417,-3.51604,-2.21313,0.265,10,48
2020-12-17,0.1232367,0.1621552,0.150759,0.1623486,-4.31875,-3.48604,-2.34583,0.06146,10,48
2020-12-18,0.123404,0.1619352,0.1496863,0.1589808,-4.19521,-3.38458,-2.34146,-0.05604,10,48
2020-12-19,0.1216462,0.1602861,0.1479451,0.1558011,-4.72458,-3.78792,-2.60646,-0.19104,10,48
2020-12-20,0.1205964,0.1587875,0.1459548,0.1526112,-4.88917,-4.01208,-2.86083,-0.37625,10,48
2020-12-21,0.1217685,0.1591472,0.1452906,0.1492764,-4.27604,-3.62583,-2.73062,-0.49437,10,48
2020-12-22,0.1232101,0.1602306,0.1453795,0.1475345,-3.68021,-3.13458,-2.44333,-0.49125,10,48
2020-12-23,0.1238193,0.1607128,0.1453804,0.1464104,-3.49312,-2.96896,-2.2975,-0.495,10,48
2020-12-24,0.1237203,0.160782,0.1452543,0.1455329,-3.54208,-2.92042,-2.21021,-0.48083,10,48
2020-12-25,0.1214416,0.1588064,0.1436497,0.1439668,-4.38896,-3.57042,-2.60146,-0.57562,10,48
2020-12-26,0.1194834,0.1567474,0.1412211,0.1408385,-4.92083,-4.07875,-3.03792,-0.76271,10,48
2020-12-27,0.1198667,0.1565503,0.1399235,0.137158,-4.56583,-3.90521,-3.04917,-0.89583,10,48
2020-12-28,0.117675,0.1549641,0.1385447,0.1338332,-5.34479,-4.43521,-3.33354,-0.99667,10,48
2020-12-29,0.1156024,0.1529886,0.1365772,0.1299986,-5.90437,-4.93854,-3.7575,-1.22958,10,48
2020-12-30,0.1129161,0.1505779,0.134527,0.1267126,-6.55437,-5.53458,-4.25146,-1.48479,10,48
2020-12-31,0.1119041,0.1493604,0.1330702,0.1243024,-6.71208,-5.73396,-4.52125,-1.74312,10,48
2021-01-01,0.109865,0.1474433,0.1315686,0.122268,-7.37458,-6.27667,-4.93479,-2.00292,10,48
2021-01-02,0.1077904,0.1452244,0.1296623,0.1195511,-8.04542,-6.91896,-5.49104,-2.34771,10,48
2021-01-03,0.107416,0.1443229,0.1286192,0.1163654,-8.03792,-7.02563,-5.73396,-2.65354,10,48
2021-01-04,0.1068087,0.1436504,0.1278978,0.1146182,-8.21396,-7.19667,-5.90375,-2.88187,10,48
2021-01-05,0.1056486,0.1423935,0.1269479,0.1133912,-8.69917,-7.62687,-6.25521,-3.14708,10,48
2021-01-06,0.1061923,0.1423461,0.1265184,0.1122807,-8.27771,-7.43729,-6.2925,-3.36604,10,48
2021-01-07,0.105443,0.141873,0.1263119,0.1117346,-8.6325,-7.62083,-6.34396,-3.46937,10,48
